Trabajador,Sexo,Delegacion / Municipio
    CM0006,H,ECATEPEC DE MORELOS
    CM0007,M, 
    CM0008,H,TLATELOLCO
    CM0009,H,IZTACALCO
    CM0010,H,ECATEPEC
    CM0011,H,NAUCALPAN
    CM0012,M,UNIDAD LOMA HERMOSA
    CM0013,H,ECATEPEC DE MORELOS
    CM0014,H,BENITO JUAREZ
    CM0015,M,ALVARO OBREGON
    CM0017,H,MAGDALENA CONTRERAS
    CM0019,M,AZCAPOTZALCO
    CM0020,M,CUAUHTEMOC
    CM0021,M,CUAUHTEMOC
    CM0022,M,NEZAHUALCOYOTL
    CM0023,M,CUAUHTEMOC
    CM0024,M,AZCAPOTZALCO
    CM0025,H,TLAHUAC
    CM0026,H,COYOACAN
    CM0027,H,TULTEPEC
    CM0028,H,ALVARO OBREGON
    CM0031,H,CUAUHTEMOC
    CM0032,H,GUSTAVO A. MADERO
    CM0035,M,NAUCALPAN DE JUAREZ
    CM0038,H,GUSTAVO A. MADERO
    CM0039,H,GUSTAVO A. MADERO
    CM0042,H,MIGUEL HIDALGO
    CM0043,H,BENITO JUAREZ
    CM0045,H,ECATEPEC EDO. DE M
    CM0047,H,CUAHUTEMOC
    CM0051,M,ECATEPEC
    CM0055,M,CD. NEZAHUALCOYOTL
    CM0056,M,AZCAPOTZALCO
    CM0057,H,TLALPAN
    CM0061,H,CUAUTITLAN
    CM0071,H,AZCAPOTZALCO
    CM0075,H,GUSTAVO A. MADERO
    CM0076,H,AZCAPOTZALCO
    CM0077,H,ECATEPEC
    CM0082,H,NULL
    CM0083,H,NAUCALPAN
    CM0086,M,BENITO JUAREZ
    CM0087,M,MIGUEL HIDALGO
    CM0091,H,MIGUEL HIDALGO
    CM0092,H,ATIZAPAN
    CM0099,H,AZCAPOTZALCO
    CM0100,H,CUAUHTEMOC
    CM0105,M,TLALPAN
    CM0107,M,CUAUHTEMOC
    CM0110,H,BENITO JUAREZ
    CM0111,H,COYOACAN
    CM0112,H,GUSTAVO A. MADERO
    CM0116,H,NAUCALPAN
    CM0120,M,VENUSTIANO CARRANZA
    CM0123,H,ALVARO OBREGON
    CM0126,M,COYOACAN
    CM0133,M,TLALPAN
    CM0142,H,BENITO JUAREZ
    CM0145,H,GUSTAVO A. MADERO
    CM0146,H,TLALPAN
    CM0147,M,IZTACALCO
    CM0148,H,ALVARO OBREGON
    CM0153,H,GUSTAVO A. MADERO
    CM0155,M,TLALPAN
    CM0165,M,TLAHUAC
    CM0166,M,IZTALAPA
    CM0180,H,BENITO JUAREZ
    CM0185,M,IZTAPALAPA
    CM0186,H,CUAJIMALPA
    CM0189,H,ALVARO OBREGON
    CM0197,M,NAUCALPAN
    CM0209,H,CUAUHTEMOC
    CM0210,M,GUSTAVO A. MADERO
    CM0211,H,BENITO JUAREZ
    CM0213,M,TLALNEPANTLA
    CM0215,H,TOLUCA
    CM0221,M,GUSTAVO A. MADERO
    CM0230,M,MAGDALENA CONTRERAS
    CM0236,M,TLALPAN
    CM0239,H,BENITO JUAREZ
    CM0240,M,MIGUEL HIDALGO
    CM0243,M,GUSTAVO A MADERO
    CM0246,M,NEZAHUALCOYOTL
    CM0247,M,BENITO JUAREZ
    CM0248,M,NAUCALPAN
    CM0257,H,HUIXQUILUCAN
    CM0259,H,TLALPAN
    CM0260,H,COYOACAN
    CM0261,H,IZTAPALAPA
    CM0263,M,TLALNEPANTLA DE BAZ
    CM0275,M,TOLUCA
    CM0281,M,CUAJIMALPA
    CM0289,H,ECATEPEC
    CM0303,M,AZCAPOTZALCO
    CM0308,H,BENITO JUAREZ
    CM0313,H,NULL
    CM0323,H,TLALPAN
    CM0329,M,NAUCALPAN
    CM0332,H,TLANEPANTLA
    CM0340,H,GUSTAVO A MADERO
    CM0346,H,GUSTAVO A. MADERO
    CM0350,H,ALVARO OBREGON
